Ticker,Outstanding_Shares,Price
SDAC,10084830,10.02
STRM,57414773,1.76
SLGL,25435768,3.97
SSSS,28339888,3.56
RVPH,20535642,4.91
FBIO,127620253,0.79
AREC,78124031,1.29
HITI,74577778,1.35
CDTX,89008850,1.13
HYMC,200640000,0.50
SBFG,6706317,14.88
PRE,117188235,0.85
JNCE,52073298,1.91
INCR,45573394,2.18
MMLP,39066929,2.54
UNB,4509545,22.00
ATHA,37797710,2.62
LIVE,3215495,30.72
SANG,25842105,3.80
HYPR,69042254,1.42
BCLI,36555970,2.68
SCOR,91327103,1.07
RDI,30626959,3.19
OMH,19979508,4.88
NCAC,9177358,10.60
SLDB,19936214,4.86
ACNT,10193684,9.50
TMTC,9414062,10.24
GLYC,64246667,1.50
YELL,52086486,1.85
SFBC,2601622,37.00
SEEL,123217949,0.78
PROV,7076696,13.56
FREE,42092511,2.27
FATBB,17412409,5.48
LBBB,9141898,10.43
VACC,37636364,2.53
AQMS,82721739,1.15
PBHC,6032340,15.77
CNGL,8897004,10.68
PFSW,23002421,4.13
ATOS,126626667,0.75
FXNC,6199346,15.30
MARX,9292157,10.20
BRAC,8922787,10.62
MPAA,19491770,4.86
THTX,96642857,0.98
WIMI,86706422,1.09
ARBG,9338933,10.12
VXRT,135869565,0.69
XOS,169654545,0.55
TALS,42779817,2.18
LAKE,7284820,12.78
TZOO,15751269,5.91
GOSS,94959184,0.98
HMAC,8983575,10.35
CRIS,96781250,0.96
TENK,8949904,10.38
MCAG,9023324,10.29
NRAC,9042885,10.26
ORTX,18397614,5.03
FATP,8400909,11.00
MAQC,8623716,10.71
ARIZ,8901639,10.37
SSBI,6787611,13.56
ALPP,199586957,0.46
OCCI,9997819,9.17
FLXS,5091111,18.00
MSSA,8819846,10.38
ALTU,9167335,9.98
DIST,8900585,10.26
VIEW,246405405,0.37
AURC,8999013,10.13
ILLM,56950000,1.60
GNUS,32070423,2.84
ORMP,39698690,2.29
RWOD,8801357,10.32
LUXH,29391586,3.09
ADVM,99714286,0.91
SPRO,51777143,1.75
MDXH,27448485,3.30
MLGO,43854369,2.06
HOWL,35419608,2.55
VERU,86846154,1.04
HUDA,8794922,10.24
AGIL,48945652,1.84
RLMD,30201342,2.98
IMAQ,8516098,10.56
ETON,25603989,3.51
VFF,109560976,0.82
FTHM,17854871,5.03
TRKA,344307692,0.26
GTH,90602041,0.98
SNCR,91298969,0.97
CFFE,8226766,10.76
CODA,11006227,8.03
PNAC,8460728,10.44
EAC,8587147,10.27
PCCT,8208022,10.72
DRIO,25870588,3.40
LWAY,14645000,6.00
MAYS,1993861,43.98
XLO,27046584,3.22
GENQ,8024977,10.81
BLAC,8572700,10.11
INTG,2207547,39.22
PPIH,7887363,10.92
TBMC,8499012,10.12
APPH,153089286,0.56
CIH,90210526,0.95
MESA,40611374,2.11
DARE,84821782,1.01
PCTI,18949115,4.52
BLNG,8476238,10.10
SRTS,16302857,5.25
AMTX,36810345,2.32
CTRM,94622222,0.90
PET,37170306,2.29
TIL,130846154,0.65
RBKB,11497970,7.39
ASPS,20970297,4.04
APAC,8003781,10.58
MTAC,8203488,10.32
HMNF,4446898,19.02
BSGM,67392000,1.25
BCAN,37553571,2.24
LVLU,39474178,2.13
MMAT,380272727,0.22
FCAP,3373538,24.79
ELYM,26295597,3.18
OMIC,71939655,1.16
OSA,16394892,5.09
REE,244852941,0.34
AUBN,3501053,23.75
MCHX,43015544,1.93
